Incident Number,Neighborhood,Occur Month,Occur Year,Occurence Date,Person Injury,Precinct,Open Data Latitude,Open Data Longitude,X,Y
21-0217,Powellhurst-Gilbert,3,2021,3/10/2021,False,East,45.481746256,-122.540930363,"7,678,690","668,343"
20-0084,Lents,2,2020,2/17/2020,False,East,45.481847629,-122.560142224,"7,673,765","668,505"
20-0503,Lents,8,2020,8/16/2020,False,East,45.481917678,-122.571954478,"7,670,737","668,608"
19-0132,Lents,5,2019,5/3/2019,False,East,45.481989186,-122.576652909,"7,669,533","668,665"
21-0201,Mt Scott-Arleta,3,2021,3/7/2021,False,East,45.482014848,-122.579025163,"7,668,925","668,690"
19-0335,Lents,10,2019,10/16/2019,False,East,45.482674655,-122.563436691,"7,672,928","668,828"
20-0541,Lents,9,2020,9/10/2020,False,East,45.482717010,-122.566726118,"7,672,085","668,865"
20-0442,Lents,8,2020,8/18/2020,True,East,45.482734184,-122.567296176,"7,671,939","668,875"
20-0556,Foster-Powell,9,2020,9/13/2020,True,East,45.482800907,-122.578948618,"7,668,952","668,976"
20-0483,Powellhurst-Gilbert,8,2020,8/29/2020,False,East,45.482899569,-122.547192625,"7,677,095","668,804"
21-0017,Powellhurst-Gilbert,1,2021,1/4/2021,False,East,45.482994963,-122.532246551,"7,680,928","668,742"
20-0312,Mt Scott-Arleta,7,2020,7/11/2020,False,East,45.483055857,-122.589239059,"7,666,316","669,137"
20-0248,Powellhurst-Gilbert,6,2020,6/19/2020,False,East,45.483225729,-122.537956929,"7,679,466","668,863"
20-0165,Powellhurst-Gilbert,4,2020,4/23/2020,False,East,45.483248538,-122.532645643,"7,680,828","668,837"
20-0725,Powellhurst-Gilbert,11,2020,11/1/2020,False,East,45.483367773,-122.534588322,"7,680,331","668,893"
20-0465,Powellhurst-Gilbert,8,2020,8/23/2020,False,East,45.483382804,-122.532190219,"7,680,946","668,883"
20-0650,Powellhurst-Gilbert,10,2020,10/3/2020,False,East,45.483430672,-122.523576329,"7,683,155","668,845"
21-0218,Powellhurst-Gilbert,3,2021,3/11/2021,True,East,45.483479657,-122.524221611,"7,682,990","668,867"
21-0135,Lents,2,2021,2/13/2021,False,East,45.483591517,-122.575131851,"7,669,938","669,239"
20-0732,Powellhurst-Gilbert,11,2020,11/3/2020,False,East,45.484039525,-122.537861309,"7,679,498","669,159"
20-0206,Mt Scott-Arleta,5,2020,5/24/2020,False,East,45.484304590,-122.598095908,"7,664,057","669,651"
20-0228,Powellhurst-Gilbert,6,2020,6/5/2020,False,East,45.484694716,-122.549145069,"7,676,611","669,471"
20-0294,Lents,7,2020,7/5/2020,False,East,45.484717083,-122.563370453,"7,672,964","669,572"
20-0572,Woodstock,9,2020,9/16/2020,False,East,45.484727283,-122.613943291,"7,659,998","669,911"
20-0859,Foster-Powell,12,2020,12/12/2020,False,East,45.485228319,-122.582317687,"7,668,111","669,883"
20-0276,Mt Scott-Arleta,6,2020,6/28/2020,False,East,45.485521855,-122.589719782,"7,666,216","670,039"
20-0298,Lents,7,2020,7/7/2020,False,East,45.485800958,-122.560917439,"7,673,603","669,951"
19-0121,Reed,4,2019,4/27/2019,False,Central,45.486373611,-122.622710554,"7,657,766","670,570"
19-0142,Powellhurst-Gilbert,5,2019,5/11/2019,False,East,45.486692222,-122.549135202,"7,676,632","670,199"
20-0520,Powellhurst-Gilbert,9,2020,9/7/2020,False,East,45.486807213,-122.542063878,"7,678,446","670,195"
21-0206,South Portland,2,2021,2/22/2021,False,Central,45.486815276,-122.675634941,"7,644,202","671,092"
20-0095,Powellhurst-Gilbert,3,2020,3/2/2020,False,East,45.486827329,-122.541549738,"7,678,578","670,199"
21-0048,Foster-Powell,1,2021,1/13/2021,False,East,45.486923107,-122.578877124,"7,669,009","670,478"
20-0788,Woodstock,11,2020,11/24/2020,False,East,45.487228069,-122.604460395,"7,662,453","670,759"
20-0881,Powellhurst-Gilbert,12,2020,12/20/2020,False,East,45.487939747,-122.537771072,"7,679,557","670,580"
20-0346,Lents,7,2020,7/25/2020,False,East,45.487959277,-122.576804815,"7,669,550","670,842"
20-0074,Lents,2,2020,2/11/2020,False,East,45.488000849,-122.576326560,"7,669,673","670,854"
20-0685,Brooklyn,10,2020,10/18/2020,False,Central,45.488062850,-122.648280208,"7,651,227","671,359"
20-0560,Mt Scott-Arleta,9,2020,9/15/2020,False,East,45.488636639,-122.600654802,"7,663,442","671,247"
20-0055,Powellhurst-Gilbert,2,2020,2/1/2020,False,East,45.488672853,-122.522062389,"7,683,591","670,746"
20-0824,Powellhurst-Gilbert,11,2020,11/7/2020,False,East,45.488709342,-122.523573213,"7,683,204","670,769"
19-0258,Reed,8,2019,8/13/2019,False,Central,45.489318261,-122.630376337,"7,655,829","671,695"
19-0416,Powellhurst-Gilbert,12,2019,12/22/2019,False,East,45.489652680,-122.528264191,"7,682,010","671,143"
21-0021,Powellhurst-Gilbert,1,2021,1/6/2021,False,East,45.489673502,-122.532672679,"7,680,880","671,179"
20-0464,Powellhurst-Gilbert,8,2020,8/22/2020,False,East,45.489679504,-122.531713331,"7,681,126","671,175"
21-0116,Lents,2,2021,2/5/2021,False,East,45.489786471,-122.555764865,"7,674,961","671,370"
20-0252,Lents,6,2020,6/21/2020,False,East,45.489861336,-122.577673995,"7,669,345","671,541"
19-0169,Foster-Powell,6,2019,6/1/2019,False,East,45.489946811,-122.588088201,"7,666,676","671,641"
20-0075,Brooklyn,2,2020,2/11/2020,False,Central,45.490047302,-122.653512153,"7,649,905","672,118"
20-0394,Foster-Powell,8,2020,8/6/2020,True,East,45.490260514,-122.578812011,"7,669,057","671,694"
19-0366,Creston-Kenilworth,11,2019,11/11/2019,False,Central,45.490366819,-122.634339895,"7,654,823","672,104"
20-0892,Powellhurst-Gilbert,12,2020,12/23/2020,False,East,45.490504626,-122.537636828,"7,679,615","671,514"
21-0108,Powellhurst-Gilbert,2,2021,2/2/2021,True,East,45.490504626,-122.537636828,"7,679,615","671,514"
20-0728,Creston-Kenilworth,8,2020,8/12/2020,False,Central,45.490595003,-122.632690606,"7,655,248","672,176"
20-0204,Brooklyn,5,2020,5/22/2020,False,Central,45.490600880,-122.651204315,"7,650,502","672,304"
20-0539,Lents,9,2020,9/10/2020,False,East,45.490691757,-122.555770318,"7,674,968","671,700"
20-0825,South Portland,11,2020,11/6/2020,False,Central,45.490873638,-122.675322252,"7,644,322","672,569"
20-0585,Centennial,9,2020,9/20/2020,True,East,45.491039501,-122.488339065,"7,692,258","671,394"
20-0437,Foster-Powell,8,2020,8/17/2020,False,East,45.491370484,-122.579332430,"7,668,934","672,102"
20-0895,Powellhurst-Gilbert,12,2020,12/26/2020,False,East,45.491404910,-122.530023587,"7,681,575","671,793"
20-0065,Powellhurst-Gilbert,2,2020,2/6/2020,True,East,45.491480235,-122.529331939,"7,681,753","671,816"
19-0053,Creston-Kenilworth,2,2019,2/17/2019,False,Central,45.491731895,-122.632635763,"7,655,273","672,590"
20-0028,Centennial,1,2020,1/14/2020,False,East,45.491900400,-122.493436288,"7,690,959","671,740"
20-0873,Powellhurst-Gilbert,12,2020,12/16/2020,False,East,45.492060464,-122.539787379,"7,679,078","672,095"
20-0132,Foster-Powell,4,2020,4/6/2020,False,East,45.492064996,-122.595312502,"7,664,844","672,461"
20-0416,Powellhurst-Gilbert,8,2020,8/6/2020,False,East,45.492086319,-122.533843439,"7,680,602","672,066"
19-0421,Creston-Kenilworth,12,2019,12/28/2019,False,East,45.492119049,-122.603611735,"7,662,717","672,536"
20-0370,Centennial,8,2020,8/2/2020,True,East,45.492205226,-122.484389367,"7,693,281","671,794"
20-0069,Powellhurst-Gilbert,2,2020,2/8/2020,False,East,45.492281423,-122.519678697,"7,684,235","672,046"
20-0349,Centennial,7,2020,7/26/2020,True,East,45.492288156,-122.484353256,"7,693,291","671,824"
19-0202,Foster-Powell,7,2019,7/2/2019,False,East,45.492527574,-122.595372473,"7,664,833","672,630"
19-0270,Foster-Powell,8,2019,8/23/2019,False,East,45.492527574,-122.595372473,"7,664,833","672,630"
20-0704,Foster-Powell,10,2020,10/24/2020,False,East,45.492527574,-122.595372473,"7,664,833","672,630"
20-0390,Pleasant Valley,7,2020,7/19/2020,False,East,45.492532825,-122.495092920,"7,690,540","671,981"
20-0814,Centennial,11,2020,11/19/2020,False,East,45.492649218,-122.511070906,"7,686,445","672,125"
19-0356,Centennial,11,2019,11/3/2019,False,East,45.492670235,-122.486691485,"7,692,695","671,978"
20-0114,Creston-Kenilworth,3,2020,3/25/2020,False,East,45.492682774,-122.611465738,"7,660,709","672,794"
19-0407,Creston-Kenilworth,12,2019,12/15/2019,False,Central,45.492705250,-122.628529450,"7,656,335","672,917"
20-0033,Foster-Powell,1,2020,1/17/2020,False,East,45.492751637,-122.585776614,"7,667,295","672,648"
20-0373,Powellhurst-Gilbert,7,2020,7/28/2020,True,East,45.493121720,-122.527420625,"7,682,258","672,402"
20-0590,Centennial,9,2020,9/22/2020,True,East,45.493164982,-122.512481777,"7,686,088","672,322"
20-0890,Lents,12,2020,12/22/2020,False,East,45.493213364,-122.564626976,"7,672,721","672,677"
21-0132,Lents,2,2021,2/12/2021,False,East,45.493213364,-122.564626976,"7,672,721","672,677"
19-0330,Powellhurst-Gilbert,10,2019,10/10/2019,False,East,45.493339854,-122.522985280,"7,683,397","672,453"
19-0139,Lents,5,2019,5/10/2019,False,East,45.493464311,-122.570042832,"7,671,335","672,804"
19-0262,Creston-Kenilworth,8,2019,8/19/2019,True,East,45.493492178,-122.610419140,"7,660,985","673,082"
20-0522,Lents,9,2020,9/7/2020,True,East,45.493749170,-122.557090259,"7,674,658","672,823"
19-0230,Lents,7,2019,7/26/2019,False,East,45.493779793,-122.578702833,"7,669,118","672,976"
20-0434,Powellhurst-Gilbert,8,2020,8/16/2020,False,East,45.494025023,-122.523493397,"7,683,273","672,706"
21-0113,Powellhurst-Gilbert,2,2021,2/4/2021,True,East,45.494025566,-122.523618246,"7,683,241","672,707"
19-0244,Foster-Powell,8,2019,8/5/2019,False,East,45.494083585,-122.580410893,"7,668,683","673,098"
20-0101,Centennial,3,2020,3/6/2020,False,East,45.494212699,-122.492990803,"7,691,094","672,580"
20-0374,Centennial,7,2020,7/28/2020,False,East,45.494212699,-122.492990803,"7,691,094","672,580"
20-0645,Centennial,10,2020,10/10/2020,False,East,45.494212699,-122.492990803,"7,691,094","672,580"
20-0768,Centennial,11,2020,11/18/2020,False,East,45.494212699,-122.492990803,"7,691,094","672,580"
21-0151,Powellhurst-Gilbert,2,2021,2/21/2021,False,East,45.494272740,-122.544516793,"7,677,886","672,932"
20-0717,Centennial,10,2020,10/31/2020,True,East,45.494276241,-122.484726972,"7,693,213","672,551"
21-0100,Powellhurst-Gilbert,1,2021,1/31/2021,False,East,45.494407358,-122.535857526,"7,680,107","672,925"
19-0181,Powellhurst-Gilbert,6,2019,6/13/2019,True,East,45.494440944,-122.537676593,"7,679,641","672,949"
20-0086,Powellhurst-Gilbert,2,2020,2/18/2020,False,East,45.494440944,-122.537676593,"7,679,641","672,949"
20-0808,Powellhurst-Gilbert,11,2020,11/30/2020,False,East,45.494448084,-122.523617693,"7,683,245","672,861"
20-0818,Powellhurst-Gilbert,12,2020,12/1/2020,False,East,45.494448084,-122.523617693,"7,683,245","672,861"
19-0232,Brooklyn,7,2019,7/26/2019,False,Central,45.494486571,-122.643244903,"7,652,580","673,666"
20-0621,Powellhurst-Gilbert,10,2020,10/1/2020,False,East,45.494495096,-122.535860671,"7,680,107","672,957"
20-0608,Powellhurst-Gilbert,9,2020,9/27/2020,False,East,45.494507582,-122.546889256,"7,677,280","673,033"
20-0436,Centennial,8,2020,8/17/2020,False,East,45.494517164,-122.481419595,"7,694,063","672,618"
20-0363,Powellhurst-Gilbert,7,2020,7/31/2020,False,East,45.494521867,-122.540999249,"7,678,790","673,000"
19-0074,Lents,3,2019,3/12/2019,False,East,45.494534678,-122.554590840,"7,675,306","673,093"
20-0226,Centennial,6,2020,6/5/2020,False,East,45.494963539,-122.510200992,"7,686,689","672,963"
20-0233,Powellhurst-Gilbert,6,2020,6/9/2020,False,East,45.494969493,-122.537730661,"7,679,632","673,142"
20-0324,Lents,7,2020,7/16/2020,False,East,45.494973122,-122.550475486,"7,676,365","673,226"
20-0800,Lents,11,2020,11/29/2020,True,East,45.494980796,-122.548661777,"7,676,830","673,217"
20-0387,Creston-Kenilworth,8,2020,8/4/2020,False,Central,45.495128397,-122.627613748,"7,656,593","673,794"
20-0264,Lents,6,2020,6/14/2020,False,East,45.495262573,-122.572562148,"7,670,706","673,476"
21-0103,Lents,2,2021,2/1/2021,True,East,45.495752088,-122.557697241,"7,674,521","673,557"
19-0061,Powellhurst-Gilbert,2,2019,2/25/2019,False,East,45.495752973,-122.545514132,"7,677,644","673,478"
21-0094,Lents,1,2021,1/30/2021,False,East,45.495998456,-122.554663288,"7,675,301","673,627"
19-0379,Creston-Kenilworth,11,2019,11/21/2019,False,Central,45.496034323,-122.636600983,"7,654,298","674,185"
20-0597,Creston-Kenilworth,9,2020,9/23/2020,True,East,45.496427495,-122.618486695,"7,658,945","674,206"
19-0021,Lents,1,2019,1/22/2019,False,East,45.496462697,-122.548641098,"7,676,849","673,757"
20-0103,Powellhurst-Gilbert,3,2020,3/9/2020,False,East,45.496672129,-122.527406899,"7,682,294","673,696"
20-0270,Powellhurst-Gilbert,6,2020,6/26/2020,True,East,45.496685294,-122.531940492,"7,681,132","673,730"
20-0659,Creston-Kenilworth,10,2020,10/9/2020,False,Central,45.496789937,-122.637573513,"7,654,056","674,467"
20-0901,Creston-Kenilworth,12,2020,12/25/2020,True,Central,45.496798582,-122.637698680,"7,654,024","674,471"
20-0801,Centennial,11,2020,11/29/2020,False,East,45.496850676,-122.505988239,"7,687,786","673,624"
19-0426,Creston-Kenilworth,12,2019,12/31/2019,False,Central,45.496855475,-122.633015381,"7,655,225","674,460"
20-0054,Powellhurst-Gilbert,2,2020,2/1/2020,True,East,45.497075031,-122.537661848,"7,679,669","673,909"
20-0471,Powellhurst-Gilbert,8,2020,8/26/2020,True,East,45.497075031,-122.537661848,"7,679,669","673,909"
20-0050,Creston-Kenilworth,1,2020,1/28/2020,True,Central,45.497076255,-122.636636272,"7,654,299","674,565"
20-0140,Powellhurst-Gilbert,4,2020,4/10/2020,True,East,45.497097087,-122.536882404,"7,679,869","673,912"
19-0100,Powellhurst-Gilbert,4,2019,4/4/2019,True,East,45.497126779,-122.534897769,"7,680,378","673,910"
20-0002,Powellhurst-Gilbert,1,2020,1/1/2020,True,East,45.497126779,-122.534897769,"7,680,378","673,910"
20-0534,Powellhurst-Gilbert,8,2020,8/31/2020,False,East,45.497130335,-122.535935610,"7,680,112","673,918"
20-0591,Powellhurst-Gilbert,9,2020,9/22/2020,True,East,45.497130335,-122.535935610,"7,680,112","673,918"
20-0023,Brooklyn,1,2020,1/9/2020,False,Central,45.497136885,-122.653808237,"7,649,898","674,704"
19-0102,Centennial,4,2019,4/7/2019,False,East,45.497137086,-122.491579766,"7,691,482","673,637"
20-0369,Foster-Powell,8,2020,8/1/2020,True,East,45.497156469,-122.608990868,"7,661,386","674,408"
19-0007,Lents,1,2019,1/5/2019,False,East,45.497340280,-122.569017609,"7,671,634","674,210"
20-0244,Lents,6,2020,6/16/2020,False,East,45.497340280,-122.569017609,"7,671,634","674,210"
20-0772,Lents,11,2020,11/18/2020,False,East,45.497358775,-122.572861000,"7,670,649","674,242"
20-0470,Powellhurst-Gilbert,8,2020,8/25/2020,False,East,45.497369832,-122.565546589,"7,672,524","674,198"
20-0024,Foster-Powell,1,2020,1/11/2020,False,East,45.497404076,-122.595162228,"7,664,933","674,406"
19-0313,South Tabor,9,2019,9/22/2019,False,East,45.497412107,-122.578714814,"7,669,149","674,300"
20-0021,South Tabor,1,2020,1/8/2020,True,East,45.497412107,-122.578714814,"7,669,149","674,300"
20-0529,South Tabor,9,2020,9/2/2020,False,East,45.497412107,-122.578714814,"7,669,149","674,300"
20-0579,South Tabor,9,2020,9/17/2020,True,East,45.497412107,-122.578714814,"7,669,149","674,300"
20-0906,Powellhurst-Gilbert,12,2020,12/26/2020,True,East,45.497421804,-122.567842405,"7,671,936","674,232"
19-0126,Powellhurst-Gilbert,4,2019,4/30/2019,False,East,45.497436328,-122.570082244,"7,671,362","674,252"
20-0325,Foster-Powell,6,2020,6/24/2020,False,East,45.497438949,-122.608548806,"7,661,502","674,508"
20-0498,Powellhurst-Gilbert,8,2020,8/31/2020,True,East,45.497441003,-122.529232788,"7,681,833","673,988"
20-0880,Foster-Powell,12,2020,12/20/2020,True,East,45.497446281,-122.593298977,"7,665,411","674,409"
20-0039,Centennial,1,2020,1/23/2020,False,East,45.497450341,-122.499919705,"7,689,347","673,804"
20-0589,South Tabor,9,2020,9/22/2020,False,East,45.497461952,-122.581416306,"7,668,457","674,336"
20-0630,Foster-Powell,10,2020,10/4/2020,False,East,45.497484621,-122.609049867,"7,661,374","674,528"
19-0372,South Tabor,11,2019,11/17/2019,False,East,45.497491884,-122.595161565,"7,664,934","674,438"
21-0182,Powellhurst-Gilbert,3,2021,3/1/2021,False,East,45.497592736,-122.525766142,"7,682,723","674,021"
20-0287,Centennial,7,2020,7/4/2020,True,East,45.497635151,-122.508980836,"7,687,026","673,929"
20-0428,Centennial,8,2020,8/12/2020,False,East,45.497696263,-122.509408227,"7,686,917","673,954"
20-0099,Powellhurst-Gilbert,3,2020,3/4/2020,True,East,45.497812784,-122.524022346,"7,683,172","674,090"
20-0553,Powellhurst-Gilbert,9,2020,9/13/2020,False,East,45.497853998,-122.523551767,"7,683,293","674,102"
21-0119,Centennial,2,2021,2/6/2021,True,East,45.497892622,-122.488192727,"7,692,357","673,891"
20-0550,Powellhurst-Gilbert,9,2020,9/7/2020,False,East,45.497916017,-122.535877942,"7,680,134","674,204"
19-0351,Powellhurst-Gilbert,10,2019,10/31/2019,False,East,45.498091303,-122.537596871,"7,679,695","674,279"
20-0255,Powellhurst-Gilbert,6,2020,6/22/2020,False,East,45.498091303,-122.537596871,"7,679,695","674,279"
19-0415,Powellhurst-Gilbert,12,2019,12/22/2019,False,East,45.498258341,-122.578648249,"7,669,174","674,608"
20-0190,Powellhurst-Gilbert,5,2020,5/13/2020,True,East,45.498258341,-122.578648249,"7,669,174","674,608"
19-0087,Centennial,3,2019,3/21/2019,False,East,45.498330829,-122.509048354,"7,687,015","674,183"
19-0355,Powellhurst-Gilbert,11,2019,11/3/2019,False,East,45.498696297,-122.518872944,"7,684,500","674,379"
19-0149,Centennial,5,2019,5/18/2019,False,East,45.498852842,-122.502407367,"7,688,722","674,331"
19-0222,Powellhurst-Gilbert,7,2019,7/21/2019,False,East,45.498908648,-122.523487904,"7,683,319","674,486"
19-0259,Powellhurst-Gilbert,8,2019,8/14/2019,True,East,45.498908648,-122.523487904,"7,683,319","674,486"
21-0009,Powellhurst-Gilbert,1,2021,1/3/2021,True,East,45.498908648,-122.523487904,"7,683,319","674,486"
21-0225,Powellhurst-Gilbert,3,2021,3/11/2021,True,East,45.499126256,-122.578141621,"7,669,312","674,921"
20-0600,Centennial,9,2020,9/25/2020,False,East,45.499193918,-122.514751355,"7,685,561","674,534"
19-0209,Powellhurst-Gilbert,7,2019,7/10/2019,True,East,45.499211779,-122.568083128,"7,671,891","674,886"
19-0239,Powellhurst-Gilbert,8,2019,8/1/2019,True,East,45.499211779,-122.568083128,"7,671,891","674,886"
20-0468,South Tabor,8,2020,8/25/2020,False,East,45.499216998,-122.593239387,"7,665,443","675,054"
21-0156,Brooklyn,2,2021,2/23/2021,False,Central,45.499259633,-122.654146224,"7,649,832","675,480"
21-0214,Richmond,3,2021,3/9/2021,False,Central,45.499438220,-122.626156078,"7,657,008","675,355"
20-0515,Powellhurst-Gilbert,9,2020,9/4/2020,False,East,45.499479915,-122.519244111,"7,684,412","674,667"
21-0044,Powellhurst-Gilbert,1,2021,1/14/2021,False,East,45.499512263,-122.523485999,"7,683,325","674,706"
20-0320,Powellhurst-Gilbert,7,2020,7/12/2020,True,East,45.499512807,-122.523610861,"7,683,293","674,707"
20-0838,Powellhurst-Gilbert,12,2020,12/6/2020,False,East,45.499542821,-122.521438891,"7,683,850","674,704"
20-0842,Powellhurst-Gilbert,12,2020,12/7/2020,False,East,45.500033555,-122.523485062,"7,683,330","674,896"
19-0223,Powellhurst-Gilbert,7,2019,7/22/2019,False,East,45.500034098,-122.523609925,"7,683,298","674,897"
21-0271,Powellhurst-Gilbert,3,2021,3/26/2021,False,East,45.500269693,-122.578632121,"7,669,197","675,341"
19-0108,Homestead,4,2019,4/15/2019,False,Central,45.500553490,-122.690043044,"7,640,644","676,199"
20-0290,Centennial,7,2020,7/5/2020,False,East,45.500560561,-122.486694357,"7,692,765","674,854"
21-0086,Brooklyn,1,2021,1/28/2021,False,Central,45.500619272,-122.660346661,"7,648,256","676,018"
19-0341,Powellhurst-Gilbert,10,2019,10/24/2019,False,East,45.500756536,-122.568229104,"7,671,868","675,450"
20-0676,Powellhurst-Gilbert,10,2020,10/17/2020,False,East,45.500835097,-122.538202483,"7,679,565","675,283"
20-0518,Hosford-Abernethy,9,2020,9/5/2020,False,Central,45.500987407,-122.647739018,"7,651,491","676,066"
20-0557,Brooklyn,9,2020,9/14/2020,True,Central,45.501233632,-122.656854674,"7,649,157","676,218"
19-0229,South Tabor,7,2019,7/25/2019,False,East,45.501432898,-122.599454281,"7,663,871","675,903"
21-0270,Powellhurst-Gilbert,3,2021,3/29/2021,False,East,45.501446485,-122.537607988,"7,679,723","675,502"
20-0456,Powellhurst-Gilbert,8,2020,8/24/2020,False,East,45.501930799,-122.560137148,"7,673,953","675,825"
20-0798,Powellhurst-Gilbert,11,2020,11/27/2020,False,East,45.502294466,-122.523628030,"7,683,314","675,721"
21-0160,Powellhurst-Gilbert,2,2021,2/24/2021,False,East,45.502309467,-122.537677961,"7,679,713","675,817"
20-0790,Powellhurst-Gilbert,11,2020,11/24/2020,False,East,45.502593612,-122.549310907,"7,676,734","675,996"
20-0089,Centennial,2,2020,2/24/2020,False,East,45.502781023,-122.513895405,"7,685,813","675,836"
20-0063,Powellhurst-Gilbert,2,2020,2/4/2020,True,East,45.502871385,-122.540952034,"7,678,879","676,043"
20-0315,Centennial,7,2020,7/11/2020,False,East,45.503197005,-122.496825237,"7,690,192","675,879"
21-0087,Powellhurst-Gilbert,1,2021,1/28/2021,False,East,45.503305342,-122.576136911,"7,669,865","676,431"
21-0188,Richmond,2,2021,2/28/2021,False,East,45.503315236,-122.614549267,"7,660,020","676,690"
20-0423,Centennial,8,2020,8/7/2020,False,East,45.503497091,-122.487273059,"7,692,643","675,928"
21-0208,Southwest Hills,3,2021,3/8/2021,False,Central,45.503804028,-122.686769890,"7,641,515","677,361"
20-0047,Powellhurst-Gilbert,1,2020,1/27/2020,False,East,45.504008362,-122.526786992,"7,682,520","676,366"
20-0254,Powellhurst-Gilbert,6,2020,6/22/2020,False,East,45.504016205,-122.525097863,"7,682,953","676,358"
20-0106,Richmond,3,2020,3/12/2020,False,Central,45.504026506,-122.623436631,"7,657,749","677,009"
19-0265,Powellhurst-Gilbert,8,2019,8/21/2019,False,East,45.504033690,-122.534201021,"7,680,620","676,423"
19-0172,Powellhurst-Gilbert,6,2019,6/5/2019,False,East,45.504049193,-122.536113386,"7,680,130","676,441"
20-0674,Centennial,10,2020,10/17/2020,True,East,45.504060494,-122.491018796,"7,691,688","676,157"
19-0105,Powellhurst-Gilbert,4,2019,4/11/2019,False,East,45.504069188,-122.517877823,"7,684,804","676,331"
20-0571,Mill Park,9,2020,9/16/2020,False,East,45.504078582,-122.534764467,"7,680,476","676,443"
20-0643,Mill Park,10,2020,10/9/2020,False,East,45.504078582,-122.534764467,"7,680,476","676,443"
21-0015,Centennial,1,2021,1/1/2021,False,East,45.504082254,-122.516508815,"7,685,155","676,327"
19-0257,Powellhurst-Gilbert,8,2019,8/12/2019,True,East,45.504091217,-122.535599874,"7,680,262","676,453"
21-0200,Powellhurst-Gilbert,3,2021,3/5/2021,False,East,45.504092685,-122.537683411,"7,679,728","676,467"
19-0317,Mill Park,9,2019,9/29/2019,False,East,45.504105799,-122.530590674,"7,681,546","676,426"
19-0173,Centennial,6,2019,6/5/2019,True,East,45.504167885,-122.511154912,"7,686,528","676,324"
20-0041,Centennial,1,2020,1/23/2020,False,East,45.504167885,-122.511154912,"7,686,528","676,324"
20-0567,Centennial,9,2020,9/16/2020,False,East,45.504167885,-122.511154912,"7,686,528","676,324"
20-0701,Centennial,10,2020,10/24/2020,False,East,45.504167885,-122.511154912,"7,686,528","676,324"
19-0352,Mill Park,11,2019,11/1/2019,False,East,45.504233795,-122.547337311,"7,677,255","676,581"
20-0005,Mill Park,1,2020,1/1/2020,False,East,45.504233795,-122.547337311,"7,677,255","676,581"
20-0125,Hazelwood,4,2020,4/2/2020,False,East,45.504247393,-122.553798989,"7,675,599","676,628"
20-0457,Centennial,8,2020,8/24/2020,False,East,45.504323672,-122.506482364,"7,687,727","676,351"
20-0415,Centennial,8,2020,8/6/2020,False,East,45.504330486,-122.503419821,"7,688,512","676,334"
20-0070,Powellhurst-Gilbert,2,2020,2/9/2020,False,East,45.504392871,-122.565119193,"7,672,699","676,755"
20-0161,Powellhurst-Gilbert,4,2020,4/24/2020,False,East,45.504411583,-122.566977090,"7,672,223","676,774"
20-0149,Centennial,4,2020,4/14/2020,False,East,45.504418225,-122.503422916,"7,688,512","676,366"
20-0667,Montavilla,10,2020,10/12/2020,False,East,45.504419604,-122.565463516,"7,672,611","676,767"
19-0158,Richmond,5,2019,5/25/2019,False,Central,45.504430031,-122.622683065,"7,657,946","677,151"
19-0166,Centennial,6,2019,6/1/2019,False,East,45.504436895,-122.501722460,"7,688,948","676,362"
20-0658,Centennial,10,2020,10/11/2020,False,East,45.504505259,-122.498584049,"7,689,753","676,367"
20-0388,Montavilla,8,2020,8/5/2020,True,East,45.504524405,-122.569092028,"7,671,682","676,829"
20-0193,Centennial,5,2020,5/15/2020,False,East,45.504543520,-122.484032306,"7,693,483","676,289"
21-0267,Hazelwood,3,2021,3/29/2021,False,East,45.504558871,-122.517333381,"7,684,948","676,506"
19-0409,Powellhurst-Gilbert,12,2019,12/17/2019,False,East,45.504572821,-122.576140323,"7,669,876","676,893"
20-0401,Mill Park,8,2020,8/7/2020,False,East,45.504596046,-122.547947329,"7,677,102","676,717"
19-0214,Powellhurst-Gilbert,7,2019,7/14/2019,False,East,45.504620860,-122.577125318,"7,669,624","676,917"
20-0605,Centennial,9,2020,9/26/2020,False,East,45.504625002,-122.492006191,"7,691,440","676,369"
21-0005,Centennial,1,2021,1/2/2021,False,East,45.504625555,-122.490074899,"7,691,935","676,357"
19-0288,Centennial,9,2019,9/1/2019,False,East,45.504626730,-122.489056613,"7,692,196","676,351"
20-0834,Centennial,12,2020,12/6/2020,False,East,45.504628496,-122.488479233,"7,692,344","676,348"
20-0858,Montavilla,12,2020,12/12/2020,True,East,45.504831323,-122.578685914,"7,669,226","677,004"
19-0120,South Tabor,4,2019,4/27/2019,False,East,45.504878738,-122.579249503,"7,669,082","677,025"
21-0004,South Portland,1,2021,1/2/2021,False,Central,45.505006276,-122.675762093,"7,644,348","677,723"
20-0588,Centennial,9,2020,9/21/2020,True,East,45.505252445,-122.496952123,"7,690,178","676,629"
20-0392,Mt Tabor,8,2020,8/6/2020,False,East,45.505308244,-122.610011500,"7,661,202","677,386"
20-0896,Mt Tabor,12,2020,12/26/2020,False,East,45.505372477,-122.595561523,"7,664,906","677,313"
20-0609,Centennial,9,2020,9/28/2020,False,East,45.505492961,-122.505037118,"7,688,108","676,768"
20-0408,Centennial,8,2020,8/10/2020,False,East,45.505545291,-122.507067859,"7,687,588","676,800"
